date,time,from_city,to_city,travel_time,trip_id,seat_type,seat_num,id,cost
2021-11-13,07:00,Odessa,Rivne,6,1,1,0,1,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,1,2,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,2,3,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,3,4,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,4,5,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,5,6,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,6,7,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,7,8,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,8,9,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,9,10,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,10,11,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,11,12,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,12,13,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,13,14,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,14,15,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,15,16,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,16,17,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,17,18,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,18,19,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,19,20,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,20,21,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,21,22,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,22,23,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,23,24,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,24,25,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,25,26,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,26,27,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,27,28,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,28,29,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,29,30,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,30,31,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,31,32,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,32,33,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,33,34,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,34,35,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,35,36,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,36,37,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,37,38,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,38,39,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,39,40,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,40,41,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,41,42,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,42,43,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,43,44,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,44,45,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,45,46,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,46,47,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,47,48,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,48,49,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,49,50,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,50,51,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,51,52,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,52,53,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,53,54,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,54,55,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,55,56,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,56,57,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,57,58,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,58,59,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,59,60,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,60,61,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,61,62,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,62,63,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,63,64,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,64,65,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,65,66,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,66,67,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,67,68,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,68,69,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,69,70,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,70,71,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,71,72,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,72,73,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,73,74,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,74,75,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,75,76,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,76,77,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,77,78,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,78,79,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,79,80,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,80,81,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,81,82,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,82,83,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,83,84,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,84,85,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,85,86,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,86,87,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,87,88,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,88,89,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,89,90,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,90,91,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,91,92,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,92,93,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,93,94,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,94,95,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,95,96,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,96,97,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,97,98,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,98,99,101
2021-11-13,07:00,Odessa,Rivne,6,1,1,99,100,101
2021-11-13,07:00,Odessa,Rivne,6,1,2,0,101,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,1,102,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,2,103,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,3,104,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,4,105,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,5,106,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,6,107,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,7,108,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,8,109,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,9,110,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,10,111,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,11,112,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,12,113,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,13,114,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,14,115,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,15,116,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,16,117,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,17,118,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,18,119,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,19,120,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,20,121,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,21,122,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,22,123,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,23,124,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,24,125,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,25,126,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,26,127,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,27,128,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,28,129,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,29,130,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,30,131,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,31,132,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,32,133,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,33,134,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,34,135,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,35,136,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,36,137,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,37,138,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,38,139,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,39,140,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,40,141,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,41,142,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,42,143,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,43,144,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,44,145,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,45,146,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,46,147,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,47,148,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,48,149,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,49,150,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,50,151,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,51,152,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,52,153,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,53,154,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,54,155,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,55,156,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,56,157,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,57,158,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,58,159,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,59,160,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,60,161,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,61,162,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,62,163,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,63,164,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,64,165,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,65,166,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,66,167,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,67,168,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,68,169,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,69,170,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,70,171,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,71,172,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,72,173,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,73,174,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,74,175,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,75,176,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,76,177,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,77,178,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,78,179,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,79,180,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,80,181,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,81,182,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,82,183,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,83,184,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,84,185,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,85,186,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,86,187,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,87,188,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,88,189,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,89,190,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,90,191,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,91,192,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,92,193,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,93,194,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,94,195,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,95,196,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,96,197,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,97,198,106
2021-11-13,07:00,Odessa,Rivne,6,1,2,98,199,106
